,Country,City,Date,Max Temp,Cloudiness,Humid,Latitude,Longitude,Wind Speed
223,ZA,Port Shepstone,1651936631,71.28,57,84,-30.7414,30.455,10.09
224,ZA,Kruisfontein,1651936470,56.88,100,90,-34.0033,24.7314,6.62
225,CK,Avarua,1651936410,75.25,20,94,-21.2078,-159.775,3.44
226,TH,Mae Ramat,1651936868,78.49,84,81,16.984,98.5166,2.24
227,CN,Dongkan,1651936869,53.92,4,65,33.9997,119.8308,9.01
228,AR,Comodoro Rivadavia,1651936532,67.86,0,45,-45.8667,-67.5,19.57
229,GB,Bath,1651936837,69.06,1,51,51.3779,-2.3591,8.84
230,AU,Port Lincoln,1651936590,56.55,12,78,-34.7333,135.8667,2.44
231,JP,Naze,1651936391,69.21,47,85,28.3667,129.4833,4.63
232,US,Portland,1651936871,49.24,100,88,45.5234,-122.6762,5.75
233,TR,Mersin Province,1651936871,67.06,57,55,36.862,34.6509,9.13
234,IN,Tura,1651936578,75.43,6,73,25.5198,90.2201,3.69
235,NZ,Christchurch,1651936806,56.48,85,85,-43.5333,172.6333,2.3
236,AO,Soyo,1651936508,82.2,98,75,-6.1349,12.3689,8.63
237,BR,São Gabriel da Cachoeira,1651936873,80.4,75,83,-0.1303,-67.0892,3.44
238,CL,Ancud,1651936873,55.35,100,83,-41.8697,-73.8203,14.61
239,ID,Tarakan,1651936875,82.9,100,72,3.3,117.6333,3.69
240,RU,Lavrentiya,1651936625,18.52,95,98,65.5833,-171.0,3.94
241,NL,Dordrecht,1651936876,68.13,23,67,51.81,4.6736,5.01
242,PE,Chicama,1651936426,61.34,12,70,-7.8447,-79.1469,7.45
243,BJ,Porto-Novo,1651936877,85.19,91,63,6.4965,2.6036,7.07
244,JP,Shimizu,1651936878,53.83,100,94,43.0061,142.8847,7.47
245,BR,Centenário do Sul,1651936878,69.93,100,51,-22.8211,-51.5953,10.89
246,IN,Bhikangaon,1651936879,99.64,57,16,21.8667,75.95,3.11
247,US,Lovington,1651936880,86.04,17,9,32.944,-103.3485,4.0
248,MG,Antalaha,1651936881,76.08,10,89,-14.9003,50.2788,6.26
249,ES,La Rioja,1651936626,65.98,0,50,42.25,-2.5,10.33
250,MA,Tiznit Province,1651936883,88.9,56,12,29.5833,-9.5,10.11
251,MY,Marabu,1651936884,78.94,40,100,4.4148,114.0089,3.44
252,CA,Aklavik,1651936399,29.59,100,88,68.2191,-135.0107,6.31
253,CA,Peace River,1651936885,39.65,100,95,56.2501,-117.286,17.27
254,BR,Monte Alegre,1651936885,85.24,86,65,-2.0078,-54.0692,4.81
255,RU,Orlik,1651936886,45.91,1,59,52.5178,99.825,6.64
256,NZ,Te Anau,1651936887,56.32,100,91,-45.4167,167.7167,3.96
257,AU,Broken Hill,1651936706,51.8,0,51,-31.95,141.4333,2.71
258,AU,Roebourne,1651936888,77.61,1,64,-20.7833,117.1333,5.64
259,CA,Port-Cartier,1651936889,41.22,5,58,50.0334,-66.8654,9.17
260,CL,Constitución,1651936676,60.87,0,59,-35.3333,-72.4167,6.67
261,CN,Xucheng,1651936890,72.64,66,90,20.35,110.1288,9.01
262,BR,Olinda,1651936588,85.73,40,66,-8.0089,-34.8553,10.36
263,RU,Tarko-Sale,1651936736,13.68,8,85,64.9225,77.785,14.72
264,HT,Les Cayes,1651936891,81.9,31,72,18.2,-73.75,9.55
265,PG,Panguna,1651936891,68.72,99,96,-6.3164,155.4848,3.18
266,RU,Kirovskiy,1651936892,39.0,39,76,45.0917,133.5136,4.45
267,CA,Norman Wells,1651936418,37.65,100,79,65.282,-126.8329,1.77
268,AU,Codrington,1651936740,52.59,52,86,-38.2667,141.9667,10.0
269,CV,Vila do Maio,1651936893,83.19,43,83,15.1333,-23.2167,23.04
270,BR,Pedregulho,1651936894,79.43,0,45,-20.2569,-47.4767,1.77
271,GL,Nanortalik,1651936422,40.26,100,73,60.1432,-45.2371,3.67
272,IN,Kavaratti,1651936897,84.92,9,71,10.5669,72.642,13.98
273,RO,Vlad Ţepeş,1651936898,68.76,28,37,44.35,27.0833,12.17
274,MG,Beloha,1651936462,70.68,53,88,-25.1667,45.05,2.71
275,TR,Denizli Province,1651936899,71.62,0,29,37.8402,29.0698,7.83
276,RU,Preobrazheniye,1651936899,42.98,0,64,42.9019,133.9064,8.99
277,CV,São Filipe,1651936448,73.85,33,80,14.8961,-24.4956,13.31
278,ID,Meulaboh,1651936900,77.07,100,89,4.1363,96.1285,3.31
279,ML,Kita,1651936505,109.0,4,13,13.0349,-9.4895,1.48
280,CD,Bunia,1651936901,76.06,62,64,1.5667,30.25,7.07
281,PK,Keti Bandar,1651936901,82.56,0,75,24.1447,67.4497,13.56
282,RU,Zhigansk,1651936429,21.15,100,87,66.7697,123.3711,8.43
283,US,Nome,1651936672,32.07,100,80,64.5011,-165.4064,17.27
284,ID,Karaton,1651936902,75.22,99,92,-6.3424,106.1045,3.33
285,CN,Jijiang,1651936903,83.37,45,64,29.2906,106.2542,4.52
286,UG,Kotido,1651936904,74.41,97,68,2.9806,34.1331,3.74
287,IR,Tabas,1651936904,77.04,91,38,33.5959,56.9244,11.45
288,US,Chico,1651936692,59.67,0,72,39.7285,-121.8375,11.5
289,US,Brunswick,1651936905,56.8,40,65,41.2381,-81.8418,18.41
290,UG,Apac,1651936906,79.21,94,58,1.9756,32.5386,3.18
291,MV,Kulhudhuffushi,1651936906,84.96,99,73,6.6221,73.07,13.38
292,CU,Puerto Padre,1651936907,86.99,8,54,21.195,-76.6028,3.69
293,BF,Djibo,1651936907,108.5,80,9,14.1022,-1.6306,14.18
294,MX,Petatlán,1651936908,78.6,100,51,17.5167,-101.2667,3.36
295,IR,Rafsanjān,1651936909,78.3,78,25,30.4067,55.9939,18.12
296,MX,San Quintín,1651936642,61.93,56,79,30.4833,-115.95,9.42
297,TO,Neiafu,1651936910,75.79,75,86,-18.65,-173.9833,13.11
298,EC,Puerto Baquerizo Moreno,1651936910,76.19,40,78,-0.9,-89.6,10.36
299,MZ,Manjacaze,1651936911,73.31,0,69,-24.7117,33.8828,4.9
300,VE,Quibor,1651936911,80.15,92,62,9.9287,-69.6201,3.42
301,HK,Hong Kong,1651936533,77.32,100,80,22.2855,114.1577,4.0
302,MR,Atar,1651936681,105.24,0,10,20.5169,-13.0499,9.82
303,DE,Cologne,1651936913,72.25,20,44,50.9333,6.95,6.91
304,PT,Vila Franca do Campo,1651936913,68.41,95,88,37.7167,-25.4333,3.51
305,US,Torrington,1651936914,51.35,100,65,41.8007,-73.1212,8.01
306,RU,Suksun,1651936915,50.02,44,66,57.1431,57.3949,8.97
307,BR,São Mateus,1651936915,80.62,79,63,-18.7161,-39.8589,11.79
308,RU,Smolenskaya Oblast’,1651936916,57.27,100,65,55.0,33.0,11.5
309,US,North Branch,1651936916,66.49,0,63,45.5113,-92.9802,13.13
310,RU,Kysyl-Syr,1651936917,29.91,100,96,63.8986,122.7617,7.7
311,CN,Yumen,1651936694,58.77,100,19,40.2833,97.2,11.23
312,CA,Torbay,1651936498,41.29,53,66,47.6666,-52.7314,11.01
313,CO,Cubarral,1651936918,75.45,90,86,3.7935,-73.8406,2.71
314,CM,Batouri,1651936919,86.79,89,49,4.4333,14.3667,3.24
315,ZM,Luangwa,1651936919,82.08,6,44,-15.6167,30.4167,3.76
316,ID,Labuhan,1651936920,80.62,87,85,-6.8844,112.2051,4.88
317,BR,São João da Barra,1651936507,80.69,2,57,-21.6403,-41.0511,13.49
318,RU,Turinsk,1651936921,48.25,93,73,58.0458,63.696,10.85
319,CA,Mackenzie,1651936808,37.62,100,100,55.2999,-123.1698,2.3
320,CM,Kaélé,1651936921,103.35,100,20,10.1092,14.4508,10.83
321,AR,San Luis,1651936896,72.54,0,29,-33.295,-66.3356,11.59
322,PG,Namatanai,1651936599,79.57,36,84,-3.6667,152.4333,8.81
323,RU,Ilanskiy,1651936923,47.08,100,35,56.2358,96.065,21.21
324,RU,Ust'-Kut,1651936923,52.88,100,81,56.7938,105.7672,8.3
325,NU,Alofi,1651936684,75.09,73,94,-19.0595,-169.9187,9.22
326,CA,Bonavista,1651936492,37.78,47,60,48.6499,-53.1147,15.37
327,IR,Bam,1651936925,86.4,59,20,29.106,58.357,15.23
328,ID,Samarinda,1651936494,75.2,100,96,-0.5,117.15,0.6
